,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_1_Y1,Variable_13_Y1,Variable_19_Y0,Variable_3_Y0,Variable_14_Y0,Variable_22_Y1,Variable_22_Y0,Variable_2_Y0,Variable_9_Y0
10395,5,1,0,4,2017Q2,4160,609314.799,605048.2582,621852.5805,592246.8624,611954.3343,618804.4636,592823.4109,592284.5155,602025.0774
4627,7,1,0,16,2017Q2,1853,574822.1879,599158.9785,585286.067,609397.803,620513.199,604041.3466,593965.1928,621779.2248,573986.9268
742,7,1,0,43,2016Q1,302,587713.0436,607271.5193,614945.3021,593122.9789,582692.3851,599431.7169,605272.2449,603576.5696,581236.0761
16593,6,1,1,5,2017Q4,6643,575065.3398,593669.4387,621202.0233,620798.729,611012.9128,620350.0456,604231.2719,631189.0968,603565.7964
26450,7,1,0,0,2019Q1,13320,574566.1136,608603.8045,601200.6204,587070.7953,579571.2352,612842.1026,603113.7229,605540.9833,583174.7818
14959,3,1,0,2,2017Q4,5886,586890.8413,584616.8593,609613.9355,615262.7838,600325.8476,582837.3547,617098.8487,597096.4738,585080.0081
6329,6,1,0,18,2019Q1,2534,602957.2561,594758.6427,612919.4194,572362.4583,571960.2843,585228.2971,618400.5774,585883.2582,618059.5123
4214,9,0,1,5,2016Q4,1684,620769.733,602721.1178,601975.217,618662.947,625210.803,582579.8779,615654.6933,601231.9773,629910.1375
8726,8,1,1,5,2020Q1,3491,579285.5513,600324.7543,603878.7468,595477.4932,617303.1597,574322.8703,582809.188,609830.8937,580956.2091
3034,8,1,0,11,2016Q3,1206,581249.5549,609674.3086,595862.052,623769.8552,592494.967,583086.5395,609899.3961,614811.1014,606875.4475
23455,4,1,1,5,2019Q2,11424,611621.7237,575773.6505,601672.7257,609958.75,594780.4663,619675.1356,627273.9589,621314.3903,613409.6735
22332,7,1,0,25,2020Q1,10252,595630.4874,618909.2293,627366.8968,619658.0086,628253.1528,606626.6752,624206.1593,628364.5747,598754.117
17776,7,1,1,5,2018Q1,7249,590228.7246,601517.857,599617.8715,600621.9953,595751.5226,589780.9838,617374.7814,581203.3147,587126.5142
1918,6,1,0,35,2018Q1,752,611714.7174,591025.7876,616628.4832,625300.8106,624658.1001,581743.3016,600362.5713,594157.0336,577675.4821
5482,7,1,0,8,2017Q2,2186,585731.9625,580603.0793,617082.7624,622029.0295,627432.1471,585201.5163,594921.5159,634152.9884,613658.3516
7457,11,0,0,87,2017Q4,2966,595522.7246,619229.8896,612896.9626,583716.2177,619622.4943,618553.4674,569674.5774,593936.0435,578195.0218
20733,8,1,0,30,2018Q1,9017,624070.2386,625937.239,611354.7355,580577.6199,615190.1609,578529.349,590472.6731,598494.025,581972.6732
20527,4,1,0,42,2020Q1,8885,621954.0574,577782.8964,595875.026,583669.3612,572598.3355,599995.634,592397.9805,633452.8232,613234.6982
7330,9,0,0,19,2017Q1,2916,626970.9015,579603.5362,610376.461,599161.2513,586275.6978,573115.3211,604989.8671,617597.9923,607161.7031
11419,8,1,0,6,2016Q4,4531,627907.5671,607002.3011,631148.5788,583244.8945,572997.1651,611216.5884,575483.5013,587247.5718,589623.1937
11177,8,1,0,34,2019Q2,4439,624630.2901,571181.8202,642289.847,619733.6973,620942.13,572013.2852,626128.169,670942.064,680730.9004
26469,7,1,0,4,2016Q3,13324,608516.3613,577444.9182,582711.6223,608653.4506,601831.845,584398.8078,601253.4123,629033.4027,596741.1625
10134,5,1,0,18,2015Q3,4059,570212.8876,586537.3109,620575.9417,613779.6274,624453.6876,601663.591,605795.1044,584497.9378,588844.6187
23861,5,1,1,5,2019Q4,11918,608447.3823,622305.9869,598905.7189,610722.7608,606176.2676,601657.5191,581535.7698,606396.4493,610336.59
9358,6,1,0,19,2015Q2,3755,587243.457,603291.7187,579228.8579,581215.4741,621029.204,619043.1711,584560.1578,616798.4537,622794.8226
8929,6,1,1,5,2018Q2,3568,619258.6446,577960.7898,575264.9412,583212.3779,577905.3842,595781.5224,572592.1831,617047.33,600929.2291
1417,5,1,0,12,2017Q3,560,593850.2987,578267.9499,602177.5195,609794.8206,575345.5702,590379.5465,616758.0678,619371.1181,620942.704
5164,8,1,0,77,2015Q3,2063,585717.7529,574185.4141,572801.2204,580012.9873,581188.0417,625900.6826,601364.2571,604774.0716,602080.0651
6347,5,1,0,43,2015Q3,2543,610766.0868,581470.0251,629202.7193,621124.8213,650942.0719,608704.9668,584355.4091,714940.6646,662527.2461
1590,7,1,0,12,2014Q4,631,573263.6009,598200.295,611808.5073,628150.0594,627117.1742,570983.9417,569762.0019,626672.6362,575839.8031
10432,7,1,0,58,2019Q2,4172,607818.1798,577593.1577,608834.6684,627042.9742,598912.8864,600412.9919,600329.5849,581720.5792,594450.9231
25147,8,1,0,24,2017Q3,12816,571538.6228,571222.5949,570780.0416,618803.3463,612070.8986,569408.7621,598547.1129,599550.6034,612294.6932
10857,5,1,1,5,2016Q3,4318,602548.5522,586102.3719,598905.6353,602212.8269,591193.8868,633162.2699,591708.0949,688990.8825,636944.4011
12588,8,1,0,21,2017Q4,4972,599998.1483,584103.8531,577432.0654,608298.712,602010.0522,570669.46,610903.676,580556.2847,628757.3344
11413,8,1,0,16,2015Q2,4529,627735.2841,579438.2666,605747.7892,601034.6115,585127.0116,600338.7753,602218.2297,584131.5229,570258.1097
7425,6,1,0,4,2018Q1,2953,572082.9519,626542.2197,616755.2613,622024.9376,621087.3169,586317.958,587534.2998,572957.121,615833.1196
19472,6,1,0,19,2018Q4,8181,583771.6481,569851.7147,615298.5016,576821.4267,573402.2639,615216.3256,588501.0096,622103.9392,583149.5797
4315,6,1,1,5,2019Q1,1732,626448.4197,621424.1013,593583.5807,581147.7258,587024.5921,618013.1325,585967.9217,622670.5461,577005.3226
18351,9,0,0,50,2017Q3,7546,625487.0447,588938.4507,722486.2002,730981.6139,620994.2572,591327.1952,601064.529,921064.6674,739637.9224
22688,3,1,1,5,2019Q4,10607,607701.2545,603354.7608,623271.2482,652379.0734,578629.2635,600483.1325,590111.7848,708564.4146,601675.0571
24424,8,1,0,8,2018Q3,12551,617099.6511,616776.9009,601216.3794,592310.0411,614458.7422,591978.7847,571715.0864,595512.0487,614055.0245
25709,8,1,0,54,2017Q1,13031,575456.4518,587921.0418,630965.977,595375.6887,584893.3827,591689.2279,573595.9378,597945.4966,609168.9924
3331,9,0,0,8,2016Q3,1314,579643.0738,580285.2615,584739.6878,604431.8463,614704.8833,603406.9206,612259.612,606006.7383,583565.6604
2229,10,0,1,5,2020Q1,884,586705.866,576665.6297,567094.762,602933.3504,612357.7802,617792.6648,568327.1468,582841.2605,568735.2256
14213,12,0,1,5,2019Q2,5579,584136.0413,595231.526,587624.2898,601444.95,615229.0507,598058.0432,620778.3795,604458.3495,579663.0321
22571,7,1,1,5,2019Q1,10480,600236.917,620175.3821,608326.3643,616473.2703,594496.8495,612223.511,581625.7126,673725.8316,590046.1423
6491,11,0,0,2,2019Q2,2592,587665.1303,589481.7878,594326.6492,592683.5766,597986.7884,588985.7499,592946.1805,608869.0055,583813.2398
8936,8,1,0,0,2015Q3,3574,601610.183,577843.6268,635551.8914,631108.2438,594012.4625,603753.369,599997.7478,643558.0066,593034.776
16934,8,1,0,28,2018Q1,6817,625665.9456,613307.3875,573514.5425,612775.7945,594107.9378,601228.634,580595.787,597425.9844,602275.1178
