,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_14_Y0,Variable_22_Y0,Variable_1_Y1,Variable_13_Y1,Variable_19_Y0,Variable_9_Y0,Variable_3_Y0,Variable_30_Y1
4627,7,1,0,16,2017Q2,1853,620513.199,593965.1928,574822.1879,599158.9785,585286.067,573986.9268,609397.803,615067.3067
742,7,1,0,43,2016Q1,302,582692.3851,605272.2449,587713.0436,607271.5193,614945.3021,581236.0761,593122.9789,610375.1607
16593,6,1,1,5,2017Q4,6643,611012.9128,604231.2719,575065.3398,593669.4387,621202.0233,603565.7964,620798.729,625824.367
26450,7,1,0,0,2019Q1,13320,579571.2352,603113.7229,574566.1136,608603.8045,601200.6204,583174.7818,587070.7953,596475.9013
14959,3,1,0,2,2017Q4,5886,600325.8476,617098.8487,586890.8413,584616.8593,609613.9355,585080.0081,615262.7838,612472.3698
6329,6,1,0,18,2019Q1,2534,571960.2843,618400.5774,602957.2561,594758.6427,612919.4194,618059.5123,572362.4583,607382.9664
4214,9,0,1,5,2016Q4,1684,625210.803,615654.6933,620769.733,602721.1178,601975.217,629910.1375,618662.947,593773.5749
8726,8,1,1,5,2020Q1,3491,617303.1597,582809.188,579285.5513,600324.7543,603878.7468,580956.2091,595477.4932,581014.2734
3034,8,1,0,11,2016Q3,1206,592494.967,609899.3961,581249.5549,609674.3086,595862.052,606875.4475,623769.8552,603762.4337
23455,4,1,1,5,2019Q2,11424,594780.4663,627273.9589,611621.7237,575773.6505,601672.7257,613409.6735,609958.75,611760.1732
22332,7,1,0,25,2020Q1,10252,628253.1528,624206.1593,595630.4874,618909.2293,627366.8968,598754.117,619658.0086,591431.077
17776,7,1,1,5,2018Q1,7249,595751.5226,617374.7814,590228.7246,601517.857,599617.8715,587126.5142,600621.9953,578421.0055
5482,7,1,0,8,2017Q2,2186,627432.1471,594921.5159,585731.9625,580603.0793,617082.7624,613658.3516,622029.0295,629026.0363
7457,11,0,0,87,2017Q4,2966,619622.4943,569674.5774,595522.7246,619229.8896,612896.9626,578195.0218,583716.2177,589246.823
20527,4,1,0,42,2020Q1,8885,572598.3355,592397.9805,621954.0574,577782.8964,595875.026,613234.6982,583669.3612,619469.744
