,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_3_Y0,Variable_13_Y1,Variable_21_Y0,Variable_20_Y0,Variable_22_Y0,Variable_12_Y2,Variable_12_Y1,Variable_29_Y0,Variable_9_Y0,Variable_18_Y1,Variable_1_Y0,Variable_1_Y1,Variable_22_Y2,Variable_14_Y0,Variable_19_Y0,Variable_24_Y0,Variable_22_Y1
10395,5,1,0,4,2017Q2,4160,592246.8624,605048.2582,585085.6023,594811.7859,592823.4109,583671.8815,618257.6525,599748.9078078358,602025.0774,609897.707,595053.168,609314.799,582692.1211,611954.3343,621852.5805,626452.0223,618804.4636
4627,7,1,0,16,2017Q2,1853,609397.803,599158.9785,621415.394,609060.126,593965.1928,585753.0484,618946.1855,604937.4332,573986.9268,615435.5732,580625.0363,574822.1879,584332.1786,620513.199,585286.067,583978.0268,604041.3466
742,7,1,0,43,2016Q1,302,593122.9789,607271.5193,601204.98,595080.8419,605272.2449,586844.4447,622632.2066,584653.55,581236.0761,625902.3224,572770.6619,587713.0436,606221.2078,582692.3851,614945.3021,585439.0344,599431.7169
16593,6,1,1,5,2017Q4,6643,620798.729,593669.4387,602700.4442,608633.8864,604231.2719,575474.4574,569455.9811,568442.9998,603565.7964,606438.356,579094.9004,575065.3398,601023.0204,611012.9128,621202.0233,590007.2307,620350.0456
26450,7,1,0,0,2019Q1,13320,587070.7953,608603.8045,593816.1472,616769.3967,603113.7229,596516.7716,615752.5313,597162.2629,583174.7818,607918.6032,570484.2228,574566.1136,601537.6252,579571.2352,601200.6204,584453.7968,612842.1026
26569,7,1,0,87,2018Q4,13359,624881.7928,620727.0853,613645.0917,582482.6007,609890.0002,620147.2522,597368.5236,628285.4191,619965.0374,598378.540963387,613494.786,572174.1803,596142.8989,579600.3504,582039.3773,593472.2991,571264.9146
23335,7,1,0,12,2019Q2,11285,608143.9812,598854.3324931494,606538.7924,581010.2441,609604.5125,598552.865253717,598627.38952835,599748.9078078358,591779.7061,598378.540963387,570281.0206,600642.5045596543,599617.3676039265,596761.2916,598915.4376,579063.8982,599621.6050248608
14959,3,1,0,2,2017Q4,5886,615262.7838,584616.8593,584529.8935,614906.9955,617098.8487,579052.295,618010.7177,571129.9902,585080.0081,610559.556,577732.4381,586890.8413,614956.5553,600325.8476,609613.9355,572748.2498,582837.3547
6329,6,1,0,18,2019Q1,2534,572362.4583,594758.6427,575880.9079,575847.4982,618400.5774,579219.4662,619663.6124,592191.6144,618059.5123,579373.899,612621.6366,602957.2561,568838.801,571960.2843,612919.4194,603548.1164,585228.2971
4214,9,0,1,5,2016Q4,1684,618662.947,602721.1178,604467.959,612584.5472,615654.6933,617017.5427,603955.0979,589925.1117,629910.1375,605186.1188,586200.4098,620769.733,610049.835,625210.803,601975.217,613992.8694,582579.8779
8726,8,1,1,5,2020Q1,3491,595477.4932,600324.7543,615286.0504,598644.6869,582809.188,619299.0817,606837.2758,621743.0051,580956.2091,605973.9105,571153.8399,579285.5513,571826.6891,617303.1597,603878.7468,614936.029,574322.8703
3034,8,1,0,11,2016Q3,1206,623769.8552,609674.3086,591887.5031,623751.8944,609899.3961,576137.8518,584751.9835,628004.4026,606875.4475,606902.1219,593650.5021,581249.5549,591191.1572,592494.967,595862.052,607378.2715,583086.5395
457,6,1,0,35,2015Q1,197,603202.8583,587068.7713,593744.0067,622512.9208,613716.2406,626402.4001,595671.3237,581930.6759,633368.1616,598378.540963387,589090.3328,591397.6533,627177.1139,626846.4839,606283.6091,613442.0474,598091.052
23455,4,1,1,5,2019Q2,11424,609958.75,575773.6505,623089.5928,587514.8355,627273.9589,598365.2443,602966.5863,624274.8905,613409.6735,597581.639,588055.0813,611621.7237,617195.6501,594780.4663,601672.7257,581287.6223,619675.1356
22332,7,1,0,25,2020Q1,10252,619658.0086,618909.2293,624928.316,598459.6621,624206.1593,598833.1043,622441.8569,577954.0366,598754.117,593792.2702,600486.315,595630.4874,612772.754,628253.1528,627366.8968,618095.4666,606626.6752
17776,7,1,1,5,2018Q1,7249,600621.9953,601517.857,596118.4581,627441.9537,617374.7814,606476.5762,603902.378,591758.9888,587126.5142,592706.4303,612146.9471,590228.7246,621059.0326,595751.5226,599617.8715,572157.4014,589780.9838
1918,6,1,0,35,2018Q1,752,625300.8106,591025.7876,611304.4074,570140.8567,600362.5713,620153.5791,602056.5388,599748.9078078358,577675.4821,608004.7775,610332.3482,611714.7174,583157.8951,624658.1001,616628.4832,607540.6826,581743.3016
5482,7,1,0,8,2017Q2,2186,622029.0295,580603.0793,610741.0902,592016.5918,594921.5159,574306.4543,627127.0184,592461.6455,613658.3516,593287.5282,591826.2739,585731.9625,611803.8254,627432.1471,617082.7624,625407.361,585201.5163
7457,11,0,0,87,2017Q4,2966,583716.2177,619229.8896,621532.5771,572217.6802,569674.5774,596815.8689,590001.4042,579321.1193,578195.0218,588508.5189,581772.2546,595522.7246,606286.4432,619622.4943,612896.9626,592554.0134,618553.4674
20733,8,1,0,30,2018Q1,9017,580577.6199,625937.239,574587.2234,622375.6598,590472.6731,598552.865253717,582994.6825,617788.9273,581972.6732,608582.8092,601811.4561,624070.2386,599617.3676039265,615190.1609,611354.7355,614262.7628,578529.349
20527,4,1,0,42,2020Q1,8885,583669.3612,577782.8964,570941.5288,600471.1806,592397.9805,573698.2762,627770.2489,575094.109,613234.6982,595517.7926,583742.2505,621954.0574,597823.9221,572598.3355,595875.026,626794.8257,599995.634
7330,9,0,0,19,2017Q1,2916,599161.2513,579603.5362,612953.7438,600638.5037,604989.8671,620717.91,600107.4279,597134.6502,607161.7031,603300.261,599614.3743,626970.9015,596875.5981,586275.6978,610376.461,595983.0966,573115.3211
