,risk_rating,Self_exclude_flag,Country_Code,BR Code,Period,Client,Variable_22_Y2,Variable_20_Y0,Variable_19_Y0,Variable_3_Y0,Variable_24_Y0,Variable_14_Y0,Variable_29_Y1,Variable_12_Y1,Variable_13_Y1,Variable_22_Y1,Variable_22_Y0,Variable_21_Y0,Variable_16_Y0,Variable_1_Y1,Variable_29_Y0,Variable_1_Y0,Variable_22_Y3,Variable_12_Y2,Variable_9_Y0
10395,5,1,0,4,2017Q2,4160,582692.1211,594811.7859,621852.5805,592246.8624,626452.0223,611954.3343,597006.330641907,618257.6525,605048.2582,618804.4636,592823.4109,585085.6023,569203.6774,609314.799,596091.5632432839,595053.168,590395.3734,583671.8815,602025.0774
4627,7,1,0,16,2017Q2,1853,584332.1786,609060.126,585286.067,609397.803,583978.0268,620513.199,598549.439,618946.1855,599158.9785,604041.3466,593965.1928,621415.394,615919.3104,574822.1879,604937.4332,580625.0363,582661.2441,585753.0484,573986.9268
742,7,1,0,43,2016Q1,302,606221.2078,595080.8419,614945.3021,593122.9789,585439.0344,582692.3851,570316.4152,622632.2066,607271.5193,599431.7169,605272.2449,601204.98,575743.0748,587713.0436,584653.55,572770.6619,599078.0413911265,586844.4447,581236.0761
16593,6,1,1,5,2017Q4,6643,601023.0204,608633.8864,621202.0233,620798.729,590007.2307,611012.9128,614708.9142,569455.9811,593669.4387,620350.0456,604231.2719,602700.4442,595845.6532,575065.3398,568442.9998,579094.9004,601230.4404,575474.4574,603565.7964
26450,7,1,0,0,2019Q1,13320,601537.6252,616769.3967,601200.6204,587070.7953,584453.7968,579571.2352,602492.6848,615752.5313,608603.8045,612842.1026,603113.7229,593816.1472,592691.3331,574566.1136,597162.2629,570484.2228,625597.2501,596516.7716,583174.7818
26569,7,1,0,87,2018Q4,13359,596142.8989,582482.6007,582039.3773,624881.7928,593472.2991,579600.3504,589797.3314,597368.5236,620727.0853,571264.9146,609890.0002,613645.0917,627423.5381,572174.1803,628285.4191,613494.786,608791.8045,620147.2522,619965.0374
23335,7,1,0,12,2019Q2,11285,599801.4530083943,581010.2441,598915.4376,608143.9812,579063.8982,596761.2916,604667.3487691763,598416.527657359,599257.2720901772,602211.3034270419,609604.5125,606538.7924,656903.5637624589,601279.7001903572,600779.9316605208,570281.0206,599140.307759639,598696.0917911398,591779.7061
14959,3,1,0,2,2017Q4,5886,614956.5553,614906.9955,609613.9355,615262.7838,572748.2498,600325.8476,602881.4849,618010.7177,584616.8593,582837.3547,617098.8487,584529.8935,576061.4876,586890.8413,571129.9902,577732.4381,600641.1694,579052.295,585080.0081
6329,6,1,0,18,2019Q1,2534,568838.801,575847.4982,612919.4194,572362.4583,603548.1164,571960.2843,587947.4272,619663.6124,594758.6427,585228.2971,618400.5774,575880.9079,616400.7849,602957.2561,592191.6144,612621.6366,594821.4899,579219.4662,618059.5123
4214,9,0,1,5,2016Q4,1684,610049.835,612584.5472,601975.217,618662.947,613992.8694,625210.803,594189.4028,603955.0979,602721.1178,582579.8779,615654.6933,604467.959,585158.3083,620769.733,589925.1117,586200.4098,598974.9616770754,617017.5427,629910.1375
